,Unnamed: 0,id,genero,casado,edad,graduado,profesion,exp_laboral,nivel_gasto,tamanno_familia,anno_nacimiento,generacion,ingresos_anuales,provincia,encuentro_digital,gasto_medio_mensual_cuota,abandono,dias_como_cliente,camp_anno,Cluster,PCA1,PCA2
80,80,CLI82,1,0,33,0,3,1,0,4,1991,3,19080,10,1.813,30,0,340,0.5,1,-37038.653459558205,-5286.325118072747
81,81,CLI83,0,0,29,0,3,0,0,3,1995,3,23048,3,2.72,30,1,220,0.0,1,-33070.67091701609,-5289.226123703097
82,82,CLI84,1,1,69,1,0,2,0,1,1955,1,47386,22,0.72,50,0,549,4.0,3,-8732.617611958718,-5311.9200524927965
83,83,CLI85,1,1,39,0,7,1,1,4,1985,3,23456,7,1.261,30,0,512,4.0,1,-32662.630807629794,-5287.561209707786
84,84,CLI86,0,0,21,0,6,0,0,3,2003,2,14401,22,1.754,30,0,144,0.0,1,-41717.67504312112,-5277.798138018064
85,85,CLI87,1,0,35,0,3,1,0,5,1989,3,30889,5,1.905,30,0,314,0.5,5,-25229.658449014863,-5292.862744257228
86,86,CLI88,1,1,57,1,0,2,1,3,1967,1,38323,7,0.857,30,0,245,0.0,5,-17795.65828040534,-5299.137412421093
87,87,CLI89,0,1,40,1,0,1,0,2,1984,3,25955,13,2.066,30,0,252,0.0,1,-30163.65739971409,-5286.057883590621
88,88,CLI90,0,0,46,0,7,2,0,3,1978,1,24287,11,0.818,30,0,438,3.0,1,-31831.63100788773,-5283.388758401998
89,89,CLI91,1,1,44,0,5,2,1,2,1980,1,110264,21,1.905,120,1,316,0.5,2,54145.34112300015,-5366.367408904244
90,90,CLI92,1,0,43,1,7,2,0,3,1981,3,40139,16,1.882,30,0,293,0.0,5,-15979.657851536766,-5296.900117139858
91,91,CLI93,0,1,52,1,0,2,1,4,1972,1,108973,33,1.17,80,0,109,0.0,2,52854.30520615338,-5363.154593877691
92,92,CLI94,0,1,67,1,0,2,2,2,1957,1,71322,27,1.502,50,0,471,1.0,0,15203.36601507604,-5325.311176819933
93,93,CLI95,1,1,35,0,7,1,0,2,1989,3,30236,10,2.043,30,0,44,0.0,5,-25882.68068723089,-5284.283570711984
94,94,CLI96,1,1,61,0,0,2,0,1,1963,1,47955,46,1.424,30,0,291,0.0,3,-8163.649635054433,-5300.532766154044
95,95,CLI97,1,1,64,1,0,2,1,1,1960,1,26340,45,0.603,30,0,298,0.0,1,-29778.631559825342,-5278.4235328335835
96,96,CLI98,0,0,42,1,0,2,0,1,1982,3,60797,4,1.836,50,0,331,0.5,3,4678.347633135985,-5311.063717362978
97,97,CLI99,1,1,69,1,0,2,2,2,1955,1,119525,36,1.189,50,0,501,4.0,2,63406.342666957964,-5367.3763396309205
98,98,CLI100,1,1,64,1,5,2,1,2,1960,1,99774,1,1.052,50,1,360,0.5,4,43655.3383844108,-5347.119999028358
99,99,CLI101,1,1,33,0,4,1,1,3,1991,3,26010,43,1.169,30,1,152,0.0,1,-30108.660834584207,-5274.1327246479195
100,100,CLI102,1,1,66,1,0,2,1,4,1958,1,111087,46,1.6,80,0,51,0.0,2,54968.313603300514,-5356.231480337101
101,101,CLI103,1,1,75,0,2,2,2,7,1949,1,28531,49,1.482,30,1,142,0.0,5,-27587.638899003665,-5274.597018867708
102,102,CLI104,1,1,57,0,0,2,0,3,1967,1,80413,39,1.463,30,1,190,0.0,0,24294.322555997584,-5324.251074681612
103,103,CLI105,1,1,42,0,2,2,2,5,1982,3,96292,19,1.054,30,1,355,0.5,4,40173.32322509667,-5338.721851021911
104,104,CLI106,0,1,39,1,3,1,0,2,1985,3,20263,22,0.962,30,0,194,0.0,1,-35855.64403787657,-5263.5118895451815
105,105,CLI107,1,0,20,0,5,0,0,2,2004,2,16588,10,1.685,30,0,349,0.5,1,-39530.63338775794,-5258.889536375808
106,106,CLI108,1,1,33,1,1,1,0,2,1991,3,27655,27,0.916,30,0,416,3.0,5,-28463.62527002388,-5268.682103749936
107,107,CLI109,1,0,95,0,8,2,0,1,1929,0,84497,46,1.189,120,0,53,0.0,0,28378.374156244856,-5323.262200610131
108,108,CLI110,0,1,21,0,3,0,0,5,2003,2,23229,29,2.478,30,0,422,3.0,1,-32889.626193903605,-5262.358538349299
109,109,CLI111,1,0,28,0,3,0,0,3,1996,3,23267,15,2.651,30,1,246,0.0,1,-32851.641330169594,-5261.434142257948
110,110,CLI112,1,1,65,1,7,2,0,4,1959,1,23790,32,1.737,30,0,558,1.0,1,-32328.58531780261,-5260.877215290801
111,111,CLI113,0,0,43,1,0,2,0,1,1981,3,30798,36,1.859,30,0,469,1.0,5,-25320.611087143472,-5266.739789065025
112,112,CLI114,0,1,55,1,5,2,0,1,1969,1,61943,9,0.7,50,0,210,0.0,3,5824.355890140352,-5296.209119316313
113,113,CLI115,1,0,52,1,0,2,0,1,1972,1,107048,34,1.385,50,0,377,1.0,4,50929.34350804832,-5339.218936303568
114,114,CLI116,1,1,47,1,2,2,2,3,1977,1,81464,46,0.896,80,0,322,0.5,0,25345.367689441424,-5313.244678233024
115,115,CLI117,1,1,40,0,2,1,1,4,1984,3,82765,16,1.905,30,0,348,0.5,0,26646.342226544584,-5313.513850874227
116,116,CLI118,1,1,88,0,8,2,0,1,1936,0,98860,47,0.955,120,0,483,3.0,4,42741.41799097204,-5328.194756485713
117,117,CLI119,1,0,40,1,0,1,0,2,1984,3,73875,9,0.87,50,0,473,3.0,0,17756.37420642197,-5302.803904699532
118,118,CLI120,1,0,30,0,8,0,0,7,1994,3,24750,22,0.824,30,1,319,0.5,1,-31368.624249992627,-5253.866412082245
119,119,CLI121,0,1,41,1,0,1,2,2,1983,3,102142,17,1.445,50,1,380,3.0,4,46023.34702797467,-5328.427611012923
120,120,CLI122,1,1,51,1,2,2,2,3,1973,1,88796,45,0.974,80,0,347,0.5,4,32677.373569996227,-5314.399249082916
121,121,CLI123,1,1,61,0,2,2,2,4,1963,1,64910,40,1.189,30,0,170,0.0,0,8791.351537767317,-5290.116259488295
122,122,CLI124,0,1,52,0,4,2,1,4,1972,1,91780,46,0.603,30,0,460,3.0,4,35661.36215433212,-5315.292583144999
123,123,CLI125,0,0,31,1,3,0,0,3,1993,3,31620,32,0.847,30,0,463,3.0,5,-24498.607168795526,-5255.5437689730325
124,124,CLI126,1,1,43,0,7,2,0,2,1981,3,48982,24,0.847,30,1,216,0.0,3,-7136.639336311455,-5271.552178299501
125,125,CLI127,0,1,30,0,6,0,0,2,1994,3,25210,14,1.238,30,0,476,3.0,1,-30908.59994061803,-5247.281675053978
126,126,CLI128,0,1,46,0,4,2,0,1,1978,1,37207,8,1.443,30,0,410,3.0,5,-18911.60580487604,-5258.011701064591
127,127,CLI129,1,1,79,1,0,2,1,2,1945,0,76162,41,0.681,50,1,370,3.0,0,20043.39202024015,-5295.059391011005
128,128,CLI130,0,1,31,1,4,0,0,2,1993,3,26401,31,1.031,30,0,202,0.0,1,-29717.628224870496,-5245.503899156741
129,129,CLI131,1,0,39,1,7,1,0,5,1985,3,20825,47,1.813,30,0,162,0.0,1,-35293.623671999,-5239.067244451031
130,130,CLI132,1,1,43,1,2,2,2,5,1981,3,102501,46,0.916,30,0,224,0.0,4,46382.331119613635,-5317.813128637532
131,131,CLI133,0,1,76,1,8,2,2,2,1948,1,126886,42,0.779,50,0,70,0.0,2,70767.32595407276,-5340.658109766546
132,132,CLI134,1,0,20,0,3,0,0,4,2004,2,16116,34,14.085,30,0,465,3.0,1,-40002.59368603202,-5231.403083543025
133,133,CLI135,1,1,51,1,0,2,0,1,1973,1,52430,14,0.642,50,0,457,3.0,3,-3688.5913997220414,-5265.865645862139
134,134,CLI136,0,1,55,1,4,2,2,2,1969,1,123559,44,0.935,50,0,468,3.0,2,67440.36471941254,-5334.322593114857
135,135,CLI137,1,0,33,0,2,1,0,5,1991,3,19725,11,1.629,30,1,113,0.0,1,-36393.625844331094,-5232.004248059816
136,136,CLI138,0,0,45,0,0,2,0,2,1979,1,93183,45,1.652,120,0,90,0.0,4,37064.37361541555,-5302.735906767
137,137,CLI139,0,0,43,1,0,2,0,4,1981,3,44048,17,1.859,30,1,246,0.0,3,-12070.619906692344,-5253.727581611191
138,138,CLI140,0,0,32,0,6,1,0,4,1992,3,18393,28,1.537,30,0,53,0.0,1,-37725.62933962287,-5227.7162296163715
139,139,CLI141,0,1,41,1,0,1,0,4,1983,3,26460,25,1.054,30,0,67,0.0,1,-29658.627337715978,-5234.591005358987
140,140,CLI142,0,1,43,1,4,2,1,2,1981,3,22281,18,1.721,30,0,170,0.0,1,-33837.61078174708,-5229.48786670778
141,141,CLI143,0,1,53,1,0,2,1,5,1971,1,113361,32,0.72,30,0,49,0.0,2,57242.32017896522,-5317.456576834436
142,142,CLI144,0,0,35,1,5,1,0,3,1989,3,25568,31,1.583,30,0,499,3.0,1,-30550.57826659749,-5230.626048613683
143,143,CLI145,1,1,86,0,8,2,0,1,1938,0,70379,23,0.915,30,0,255,0.0,0,14260.39249869634,-5273.439002491476
144,144,CLI146,0,1,47,0,4,2,1,5,1977,1,21950,24,0.564,30,0,596,4.0,1,-34168.55633989094,-5225.0721302823085
145,145,CLI147,1,0,32,0,6,1,0,5,1992,3,28472,19,1.744,30,0,564,4.0,5,-27646.571614205335,-5230.447980524084
146,146,CLI148,0,1,31,0,4,0,1,2,1993,3,22265,14,1.951,30,1,248,0.0,1,-33853.60264597382,-5223.455281554362
147,147,CLI149,1,1,88,1,8,2,0,1,1936,0,124934,13,0.837,50,0,442,3.0,2,68815.39146149828,-5322.67180611067
148,148,CLI150,0,0,31,1,3,0,0,4,1993,3,19619,2,1.376,30,1,361,0.5,1,-36499.586145337016,-5218.8470640991145
149,149,CLI151,1,1,78,1,0,2,1,3,1946,1,87130,29,0.896,80,0,276,0.0,4,31011.40965727871,-5283.788283616161
150,150,CLI152,1,1,74,0,8,2,2,9,1950,1,72312,39,1.091,30,1,363,0.5,0,16193.403642671547,-5268.302845188757
151,151,CLI153,0,0,29,0,4,0,0,1,1995,3,30607,29,2.961,30,1,176,0.0,5,-25511.61265594654,-5226.616870498362
152,152,CLI154,0,1,52,1,4,2,1,2,1972,1,66892,14,1.306,50,1,169,0.0,0,10773.385326453208,-5261.050786433566
153,153,CLI155,0,1,47,1,0,2,1,2,1977,1,84769,42,1.717,50,0,477,3.0,0,28650.40626547116,-5277.440900817962
154,154,CLI156,0,0,30,1,3,0,0,4,1994,3,18748,34,1.698,30,0,97,0.0,1,-37370.610074217926,-5212.0532355353225
155,155,CLI157,0,1,50,1,6,2,0,4,1974,1,63734,15,1.58,80,0,126,0.0,3,7615.399203854475,-5254.973868341034
156,156,CLI158,1,1,84,0,2,2,0,1,1940,0,53698,35,0.974,30,0,259,0.0,3,-2420.5841069759335,-5244.148366375566
157,157,CLI159,0,1,47,1,0,2,1,4,1977,1,21366,11,1.502,30,0,569,4.0,1,-34752.54628148984,-5211.50791802224
158,158,CLI160,0,1,86,1,8,2,2,2,1938,0,44132,26,0.564,50,1,301,0.5,3,-11986.559987995708,-5232.796366684949
159,159,CLI161,1,1,39,1,0,1,1,3,1985,3,28417,11,2.066,30,1,152,0.0,5,-27701.600608404955,-5216.483869021402
160,160,CLI162,0,0,54,1,0,2,0,1,1970,1,124487,21,0.876,50,0,166,0.0,2,68368.35481982422,-5309.294739295582
161,161,CLI163,0,0,28,1,3,0,0,5,1996,3,18643,3,1.995,30,0,348,0.5,1,-37475.5758984657,-5204.8967552031645
162,162,CLI164,1,1,41,0,2,1,1,5,1983,3,44300,25,1.491,30,0,368,3.0,3,-11818.582988453927,-5228.947052897935
163,163,CLI165,0,0,35,0,3,1,0,5,1989,3,20220,35,1.261,30,0,276,0.0,1,-35898.57933823226,-5204.451885688989
164,164,CLI166,1,1,66,1,5,2,1,2,1958,1,49821,21,1.404,50,0,430,3.0,3,-6297.554288882566,-5232.323774023915
165,165,CLI167,0,1,50,1,0,2,1,3,1974,1,22711,33,1.561,30,1,190,0.0,1,-33407.58056920893,-5204.903249379822
166,166,CLI168,0,1,54,1,1,2,1,3,1970,1,53234,17,0.564,30,0,425,3.0,3,-2884.5715744152913,-5233.659274175377
167,167,CLI169,1,0,35,1,0,1,0,5,1989,3,19156,27,1.583,30,0,54,0.0,1,-36962.59978411648,-5199.461160519155
168,168,CLI170,0,1,44,1,0,2,0,3,1980,1,22265,32,1.169,30,0,63,0.0,1,-33853.594948355414,-5201.495235123598
169,169,CLI171,1,1,65,0,0,2,1,2,1959,1,22607,13,1.346,30,0,208,0.0,1,-33511.56640722611,-5200.798263094238
170,170,CLI172,1,1,53,1,0,2,0,5,1971,1,37965,15,0.72,30,1,308,0.5,5,-18153.571088455945,-5214.7740155121
171,171,CLI173,1,1,90,1,2,2,2,2,1934,0,62419,44,1.17,50,0,382,3.0,3,6300.451633300181,-5237.636372483531
172,172,CLI174,0,1,77,1,8,2,0,2,1947,1,29465,44,1.228,30,0,253,0.0,5,-26653.55656006699,-5204.485150653366
173,173,CLI175,1,0,34,1,0,1,0,2,1990,3,18697,46,1.353,30,1,230,0.0,1,-37421.57424669241,-5192.974404577366
174,174,CLI176,0,1,79,1,8,2,2,2,1945,0,62399,2,1.737,50,1,138,0.0,3,6280.4210192696555,-5234.670418838843
175,175,CLI177,1,1,55,1,0,2,1,4,1969,1,86180,43,0.74,80,0,330,0.5,4,30061.42929589856,-5256.848425062469
176,176,CLI178,0,0,25,0,4,0,0,1,1999,2,28548,26,2.306,30,0,489,3.0,5,-27570.553636166387,-5199.538293832156
177,177,CLI179,0,0,22,0,3,0,0,6,2002,2,19365,35,3.099,30,0,517,4.0,1,-36753.54493705398,-5189.564547235323
178,178,CLI180,0,0,24,0,3,0,0,3,2000,2,21141,20,2.168,30,0,411,3.0,1,-34977.55602550144,-5190.322137063848
179,179,CLI181,0,0,34,1,4,1,0,1,1990,3,27658,24,0.755,30,0,128,0.0,5,-28460.585991679436,-5195.747627913599
180,180,CLI182,0,1,40,1,0,1,1,2,1984,3,34364,0,0.778,30,0,482,3.0,5,-21754.546292453102,-5201.219903125388
181,181,CLI183,1,1,57,0,7,2,1,5,1967,1,120574,15,1.678,200,0,508,4.0,2,64455.49209635437,-5284.387855015758
182,182,CLI184,0,0,32,1,0,1,0,1,1992,3,21687,24,0.732,30,0,439,3.0,1,-34431.54494638184,-5186.84924294124
183,183,CLI185,1,1,44,1,0,2,1,4,1980,1,116326,35,1.1,30,0,320,0.5,2,60207.38491941827,-5278.293080522203
184,184,CLI186,0,0,44,1,0,2,0,1,1980,1,90572,24,1.675,50,0,441,1.0,4,34453.42690348928,-5252.115829777028
185,185,CLI187,1,1,42,1,0,2,0,2,1982,3,21506,20,1.307,30,0,527,1.0,1,-34612.52651026822,-5183.653562509772
186,186,CLI188,0,1,94,0,8,2,0,1,1930,0,67106,34,0.935,30,1,264,0.0,0,10987.442066632517,-5227.240764089616
187,187,CLI189,0,0,23,0,5,0,0,3,2001,2,13284,1,2.754,30,0,259,0.0,1,-42834.55962916126,-5173.682829306672
188,188,CLI190,0,1,45,0,4,2,1,2,1979,1,79451,38,1.008,120,0,146,0.0,0,23332.440039965906,-5237.3141553808055
189,189,CLI191,1,1,44,1,0,2,0,2,1980,1,123254,1,1.146,50,0,100,0.0,2,67135.37108537315,-5279.105262692915
190,190,CLI192,1,1,58,1,0,2,1,3,1966,1,94980,12,1.287,80,1,172,0.0,4,38861.42175625493,-5250.476762427327
191,191,CLI193,0,1,46,1,0,2,0,2,1978,1,25715,14,15.215,30,0,306,0.5,1,-30403.546363290126,-5181.811926372212
192,192,CLI194,1,1,46,0,2,2,0,2,1978,1,76575,42,1.306,120,1,104,0.0,0,20456.441692564185,-5230.514701024701
193,193,CLI195,1,1,53,1,0,2,1,4,1971,1,78640,43,1.052,80,0,266,0.0,0,22521.443669076645,-5231.499247087871
194,194,CLI196,1,1,65,1,0,2,0,2,1959,1,52301,12,1.737,50,0,564,1.0,3,-3817.512068003991,-5204.716657196911
195,195,CLI197,1,1,45,1,2,2,1,3,1979,1,118305,12,1.744,30,0,512,4.0,2,62186.41752873514,-5268.18438455803
196,196,CLI198,0,1,34,1,0,1,1,2,1990,3,30375,41,1.514,30,1,148,0.0,5,-25743.568965985658,-5181.396243978611
197,197,CLI199,0,1,54,1,0,2,2,5,1970,1,111245,30,1.678,30,1,140,0.0,2,55126.38712259753,-5259.370562629806
198,198,CLI200,1,1,74,1,2,2,0,2,1950,1,112983,42,0.759,50,0,475,3.0,2,56864.44549166069,-5259.9934996316915
