,id,genero,casado,edad,graduado,profesion,exp_laboral,nivel_gasto,tamanno_familia,anno_nacimiento,generacion,ingresos_anuales,provincia,encuentro_digital,gasto_medio_mensual_cuota,abandono,dias_como_cliente,camp_anno
33,CLI35,1,0,29,0,1,0,0,1,1995,3,28710,48,2.823,30,0,219,0.0
34,CLI36,0,1,91,0,8,2,2,2,1933,0,82612,25,1.091,120,0,337,0.5
35,CLI37,0,0,30,1,3,0,0,4,1994,3,21099,3,1.261,30,0,152,0.0
36,CLI38,1,0,35,0,5,1,0,1,1989,3,21460,47,1.537,30,0,240,0.0
37,CLI39,0,1,31,0,3,0,1,5,1993,3,23394,1,1.054,30,0,325,0.5
38,CLI40,0,1,31,1,0,0,0,2,1993,3,22565,38,0.87,30,0,520,4.0
39,CLI41,1,1,62,1,0,2,1,2,1962,1,49475,6,1.6,50,0,493,3.0
40,CLI42,0,0,52,1,0,2,0,1,1972,1,63940,35,0.798,50,0,33,0.0
41,CLI43,0,0,24,0,3,0,0,2,2000,2,17510,41,2.996,30,1,337,0.5
42,CLI44,0,0,30,1,0,0,0,3,1994,3,22608,14,1.261,30,0,40,0.0
43,CLI45,0,1,54,1,0,2,0,2,1970,1,53294,42,0.896,50,1,389,3.0
44,CLI46,1,1,44,0,4,2,0,1,1980,1,25196,7,1.629,30,1,265,0.0
45,CLI47,0,1,87,0,8,2,2,2,1937,0,48021,47,1.385,30,0,223,0.0
46,CLI48,1,1,45,1,0,2,1,4,1979,1,64917,16,1.698,30,1,187,0.0
47,CLI49,0,0,32,1,3,1,0,1,1992,3,22818,42,0.801,30,1,305,0.5
48,CLI50,1,0,21,0,3,0,0,4,2003,2,19656,0,2.306,30,0,249,0.0
49,CLI51,0,0,50,1,4,2,0,1,1974,1,26612,23,1.17,30,0,395,3.0
50,CLI52,0,1,67,0,0,2,1,2,1957,1,107377,1,1.561,120,1,152,0.0
51,CLI53,0,1,40,1,0,1,1,2,1984,3,83364,49,1.56,50,0,337,0.5
52,CLI54,1,1,44,1,0,2,0,1,1980,1,59461,49,1.79,50,1,330,0.5
53,CLI55,0,1,63,1,7,2,1,2,1961,1,90571,22,0.974,50,0,128,0.0
54,CLI56,1,1,84,0,6,2,0,1,1940,0,87489,42,1.385,120,0,550,4.0
55,CLI57,1,1,35,1,0,1,1,2,1989,3,19307,46,1.514,30,0,462,3.0
56,CLI58,1,0,28,1,3,0,0,4,1996,3,27496,18,2.237,30,0,401,3.0
57,CLI59,1,0,35,1,5,1,0,2,1989,3,20048,27,0.916,30,0,186,0.0
58,CLI60,0,1,50,1,0,2,1,3,1974,1,73150,37,0.74,80,0,523,4.0
59,CLI61,1,1,79,1,8,2,0,1,1945,0,77468,37,1.58,50,0,579,1.0
60,CLI62,1,1,53,1,0,2,1,2,1971,1,22901,6,0.72,30,0,65,0.0
61,CLI63,1,1,61,1,0,2,1,2,1963,1,56381,6,0.583,50,0,296,0.0
62,CLI64,1,1,81,1,8,2,2,3,1943,0,31295,34,0.818,30,1,170,0.0
63,CLI65,1,1,62,1,8,2,2,2,1962,1,102447,16,1.404,50,0,571,1.0
64,CLI66,1,1,65,1,8,2,2,2,1959,1,76260,3,1.502,50,0,215,0.0
65,CLI67,1,0,28,1,7,0,0,2,1996,3,25833,45,2.168,30,0,372,3.0
66,CLI68,1,1,34,1,5,1,1,2,1990,3,26168,38,0.939,30,0,594,4.0
67,CLI69,1,0,30,0,0,0,0,4,1994,3,27182,16,1.583,30,0,186,0.0
68,CLI70,1,1,63,1,0,2,1,4,1961,1,42360,18,1.033,30,0,35,0.0
69,CLI71,0,1,43,1,1,2,2,2,1981,3,86946,35,0.824,50,0,198,0.0
70,CLI72,1,1,30,1,3,0,0,2,1994,3,21017,1,1.813,30,0,451,3.0
71,CLI73,0,1,56,1,7,2,1,2,1968,1,125882,25,0.661,50,1,327,0.5
72,CLI74,0,1,52,0,0,2,1,5,1972,1,47137,6,0.837,30,0,372,3.0
73,CLI75,0,0,36,0,3,1,0,4,1988,3,22495,11,2.02,30,0,215,0.0
74,CLI76,1,1,62,1,0,2,1,4,1962,1,59420,41,1.326,80,0,223,0.0
75,CLI77,0,0,36,0,1,1,0,3,1988,3,24846,21,0.732,30,0,145,0.0
76,CLI78,0,0,40,1,5,1,0,2,1984,3,103438,39,1.721,50,1,249,0.0
77,CLI79,1,1,56,0,0,2,0,3,1968,1,28702,15,1.17,30,1,391,3.0
78,CLI80,1,1,50,1,4,2,1,2,1974,1,72025,1,0.622,50,0,47,0.0
79,CLI81,0,0,54,1,8,2,0,1,1970,1,40072,8,1.248,50,0,311,0.5
80,CLI82,1,0,33,0,3,1,0,4,1991,3,19080,10,1.813,30,0,340,0.5
81,CLI83,0,0,29,0,3,0,0,3,1995,3,23048,3,2.72,30,1,220,0.0
82,CLI84,1,1,69,1,0,2,0,1,1955,1,47386,22,0.72,50,0,549,4.0
83,CLI85,1,1,39,0,7,1,1,4,1985,3,23456,7,1.261,30,0,512,4.0
84,CLI86,0,0,21,0,6,0,0,3,2003,2,14401,22,1.754,30,0,144,0.0
85,CLI87,1,0,35,0,3,1,0,5,1989,3,30889,5,1.905,30,0,314,0.5
86,CLI88,1,1,57,1,0,2,1,3,1967,1,38323,7,0.857,30,0,245,0.0
87,CLI89,0,1,40,1,0,1,0,2,1984,3,25955,13,2.066,30,0,252,0.0
88,CLI90,0,0,46,0,7,2,0,3,1978,1,24287,11,0.818,30,0,438,3.0
89,CLI91,1,1,44,0,5,2,1,2,1980,1,110264,21,1.905,120,1,316,0.5
90,CLI92,1,0,43,1,7,2,0,3,1981,3,40139,16,1.882,30,0,293,0.0
91,CLI93,0,1,52,1,0,2,1,4,1972,1,108973,33,1.17,80,0,109,0.0
92,CLI94,0,1,67,1,0,2,2,2,1957,1,71322,27,1.502,50,0,471,1.0
93,CLI95,1,1,35,0,7,1,0,2,1989,3,30236,10,2.043,30,0,44,0.0
94,CLI96,1,1,61,0,0,2,0,1,1963,1,47955,46,1.424,30,0,291,0.0
95,CLI97,1,1,64,1,0,2,1,1,1960,1,26340,45,0.603,30,0,298,0.0
96,CLI98,0,0,42,1,0,2,0,1,1982,3,60797,4,1.836,50,0,331,0.5
97,CLI99,1,1,69,1,0,2,2,2,1955,1,119525,36,1.189,50,0,501,4.0
98,CLI100,1,1,64,1,5,2,1,2,1960,1,99774,1,1.052,50,1,360,0.5
99,CLI101,1,1,33,0,4,1,1,3,1991,3,26010,43,1.169,30,1,152,0.0
100,CLI102,1,1,66,1,0,2,1,4,1958,1,111087,46,1.6,80,0,51,0.0
101,CLI103,1,1,75,0,2,2,2,7,1949,1,28531,49,1.482,30,1,142,0.0
102,CLI104,1,1,57,0,0,2,0,3,1967,1,80413,39,1.463,30,1,190,0.0
103,CLI105,1,1,42,0,2,2,2,5,1982,3,96292,19,1.054,30,1,355,0.5
104,CLI106,0,1,39,1,3,1,0,2,1985,3,20263,22,0.962,30,0,194,0.0
105,CLI107,1,0,20,0,5,0,0,2,2004,2,16588,10,1.685,30,0,349,0.5
106,CLI108,1,1,33,1,1,1,0,2,1991,3,27655,27,0.916,30,0,416,3.0
107,CLI109,1,0,95,0,8,2,0,1,1929,0,84497,46,1.189,120,0,53,0.0
108,CLI110,0,1,21,0,3,0,0,5,2003,2,23229,29,2.478,30,0,422,3.0
109,CLI111,1,0,28,0,3,0,0,3,1996,3,23267,15,2.651,30,1,246,0.0
110,CLI112,1,1,65,1,7,2,0,4,1959,1,23790,32,1.737,30,0,558,1.0
111,CLI113,0,0,43,1,0,2,0,1,1981,3,30798,36,1.859,30,0,469,1.0
112,CLI114,0,1,55,1,5,2,0,1,1969,1,61943,9,0.7,50,0,210,0.0
113,CLI115,1,0,52,1,0,2,0,1,1972,1,107048,34,1.385,50,0,377,1.0
114,CLI116,1,1,47,1,2,2,2,3,1977,1,81464,46,0.896,80,0,322,0.5
115,CLI117,1,1,40,0,2,1,1,4,1984,3,82765,16,1.905,30,0,348,0.5
116,CLI118,1,1,88,0,8,2,0,1,1936,0,98860,47,0.955,120,0,483,3.0
117,CLI119,1,0,40,1,0,1,0,2,1984,3,73875,9,0.87,50,0,473,3.0
118,CLI120,1,0,30,0,8,0,0,7,1994,3,24750,22,0.824,30,1,319,0.5
119,CLI121,0,1,41,1,0,1,2,2,1983,3,102142,17,1.445,50,1,380,3.0
120,CLI122,1,1,51,1,2,2,2,3,1973,1,88796,45,0.974,80,0,347,0.5
121,CLI123,1,1,61,0,2,2,2,4,1963,1,64910,40,1.189,30,0,170,0.0
122,CLI124,0,1,52,0,4,2,1,4,1972,1,91780,46,0.603,30,0,460,3.0
123,CLI125,0,0,31,1,3,0,0,3,1993,3,31620,32,0.847,30,0,463,3.0
124,CLI126,1,1,43,0,7,2,0,2,1981,3,48982,24,0.847,30,1,216,0.0
125,CLI127,0,1,30,0,6,0,0,2,1994,3,25210,14,1.238,30,0,476,3.0
126,CLI128,0,1,46,0,4,2,0,1,1978,1,37207,8,1.443,30,0,410,3.0
127,CLI129,1,1,79,1,0,2,1,2,1945,0,76162,41,0.681,50,1,370,3.0
128,CLI130,0,1,31,1,4,0,0,2,1993,3,26401,31,1.031,30,0,202,0.0
129,CLI131,1,0,39,1,7,1,0,5,1985,3,20825,47,1.813,30,0,162,0.0
130,CLI132,1,1,43,1,2,2,2,5,1981,3,102501,46,0.916,30,0,224,0.0
131,CLI133,0,1,76,1,8,2,2,2,1948,1,126886,42,0.779,50,0,70,0.0
132,CLI134,1,0,20,0,3,0,0,4,2004,2,16116,34,14.085,30,0,465,3.0
133,CLI135,1,1,51,1,0,2,0,1,1973,1,52430,14,0.642,50,0,457,3.0
134,CLI136,0,1,55,1,4,2,2,2,1969,1,123559,44,0.935,50,0,468,3.0
135,CLI137,1,0,33,0,2,1,0,5,1991,3,19725,11,1.629,30,1,113,0.0
136,CLI138,0,0,45,0,0,2,0,2,1979,1,93183,45,1.652,120,0,90,0.0
137,CLI139,0,0,43,1,0,2,0,4,1981,3,44048,17,1.859,30,1,246,0.0
138,CLI140,0,0,32,0,6,1,0,4,1992,3,18393,28,1.537,30,0,53,0.0
139,CLI141,0,1,41,1,0,1,0,4,1983,3,26460,25,1.054,30,0,67,0.0
140,CLI142,0,1,43,1,4,2,1,2,1981,3,22281,18,1.721,30,0,170,0.0
141,CLI143,0,1,53,1,0,2,1,5,1971,1,113361,32,0.72,30,0,49,0.0
142,CLI144,0,0,35,1,5,1,0,3,1989,3,25568,31,1.583,30,0,499,3.0
143,CLI145,1,1,86,0,8,2,0,1,1938,0,70379,23,0.915,30,0,255,0.0
144,CLI146,0,1,47,0,4,2,1,5,1977,1,21950,24,0.564,30,0,596,4.0
145,CLI147,1,0,32,0,6,1,0,5,1992,3,28472,19,1.744,30,0,564,4.0
146,CLI148,0,1,31,0,4,0,1,2,1993,3,22265,14,1.951,30,1,248,0.0
147,CLI149,1,1,88,1,8,2,0,1,1936,0,124934,13,0.837,50,0,442,3.0
148,CLI150,0,0,31,1,3,0,0,4,1993,3,19619,2,1.376,30,1,361,0.5
149,CLI151,1,1,78,1,0,2,1,3,1946,1,87130,29,0.896,80,0,276,0.0
150,CLI152,1,1,74,0,8,2,2,9,1950,1,72312,39,1.091,30,1,363,0.5
151,CLI153,0,0,29,0,4,0,0,1,1995,3,30607,29,2.961,30,1,176,0.0
152,CLI154,0,1,52,1,4,2,1,2,1972,1,66892,14,1.306,50,1,169,0.0
153,CLI155,0,1,47,1,0,2,1,2,1977,1,84769,42,1.717,50,0,477,3.0
154,CLI156,0,0,30,1,3,0,0,4,1994,3,18748,34,1.698,30,0,97,0.0
155,CLI157,0,1,50,1,6,2,0,4,1974,1,63734,15,1.58,80,0,126,0.0
156,CLI158,1,1,84,0,2,2,0,1,1940,0,53698,35,0.974,30,0,259,0.0
157,CLI159,0,1,47,1,0,2,1,4,1977,1,21366,11,1.502,30,0,569,4.0
158,CLI160,0,1,86,1,8,2,2,2,1938,0,44132,26,0.564,50,1,301,0.5
159,CLI161,1,1,39,1,0,1,1,3,1985,3,28417,11,2.066,30,1,152,0.0
160,CLI162,0,0,54,1,0,2,0,1,1970,1,124487,21,0.876,50,0,166,0.0
161,CLI163,0,0,28,1,3,0,0,5,1996,3,18643,3,1.995,30,0,348,0.5
162,CLI164,1,1,41,0,2,1,1,5,1983,3,44300,25,1.491,30,0,368,3.0
163,CLI165,0,0,35,0,3,1,0,5,1989,3,20220,35,1.261,30,0,276,0.0
164,CLI166,1,1,66,1,5,2,1,2,1958,1,49821,21,1.404,50,0,430,3.0
165,CLI167,0,1,50,1,0,2,1,3,1974,1,22711,33,1.561,30,1,190,0.0
166,CLI168,0,1,54,1,1,2,1,3,1970,1,53234,17,0.564,30,0,425,3.0
167,CLI169,1,0,35,1,0,1,0,5,1989,3,19156,27,1.583,30,0,54,0.0
168,CLI170,0,1,44,1,0,2,0,3,1980,1,22265,32,1.169,30,0,63,0.0
169,CLI171,1,1,65,0,0,2,1,2,1959,1,22607,13,1.346,30,0,208,0.0
170,CLI172,1,1,53,1,0,2,0,5,1971,1,37965,15,0.72,30,1,308,0.5
171,CLI173,1,1,90,1,2,2,2,2,1934,0,62419,44,1.17,50,0,382,3.0
172,CLI174,0,1,77,1,8,2,0,2,1947,1,29465,44,1.228,30,0,253,0.0
173,CLI175,1,0,34,1,0,1,0,2,1990,3,18697,46,1.353,30,1,230,0.0
174,CLI176,0,1,79,1,8,2,2,2,1945,0,62399,2,1.737,50,1,138,0.0
175,CLI177,1,1,55,1,0,2,1,4,1969,1,86180,43,0.74,80,0,330,0.5
176,CLI178,0,0,25,0,4,0,0,1,1999,2,28548,26,2.306,30,0,489,3.0
177,CLI179,0,0,22,0,3,0,0,6,2002,2,19365,35,3.099,30,0,517,4.0
178,CLI180,0,0,24,0,3,0,0,3,2000,2,21141,20,2.168,30,0,411,3.0
179,CLI181,0,0,34,1,4,1,0,1,1990,3,27658,24,0.755,30,0,128,0.0
180,CLI182,0,1,40,1,0,1,1,2,1984,3,34364,0,0.778,30,0,482,3.0
181,CLI183,1,1,57,0,7,2,1,5,1967,1,120574,15,1.678,200,0,508,4.0
182,CLI184,0,0,32,1,0,1,0,1,1992,3,21687,24,0.732,30,0,439,3.0
183,CLI185,1,1,44,1,0,2,1,4,1980,1,116326,35,1.1,30,0,320,0.5
184,CLI186,0,0,44,1,0,2,0,1,1980,1,90572,24,1.675,50,0,441,1.0
185,CLI187,1,1,42,1,0,2,0,2,1982,3,21506,20,1.307,30,0,527,1.0
186,CLI188,0,1,94,0,8,2,0,1,1930,0,67106,34,0.935,30,1,264,0.0
187,CLI189,0,0,23,0,5,0,0,3,2001,2,13284,1,2.754,30,0,259,0.0
188,CLI190,0,1,45,0,4,2,1,2,1979,1,79451,38,1.008,120,0,146,0.0
189,CLI191,1,1,44,1,0,2,0,2,1980,1,123254,1,1.146,50,0,100,0.0
190,CLI192,1,1,58,1,0,2,1,3,1966,1,94980,12,1.287,80,1,172,0.0
191,CLI193,0,1,46,1,0,2,0,2,1978,1,25715,14,15.215,30,0,306,0.5
192,CLI194,1,1,46,0,2,2,0,2,1978,1,76575,42,1.306,120,1,104,0.0
193,CLI195,1,1,53,1,0,2,1,4,1971,1,78640,43,1.052,80,0,266,0.0
194,CLI196,1,1,65,1,0,2,0,2,1959,1,52301,12,1.737,50,0,564,1.0
195,CLI197,1,1,45,1,2,2,1,3,1979,1,118305,12,1.744,30,0,512,4.0
196,CLI198,0,1,34,1,0,1,1,2,1990,3,30375,41,1.514,30,1,148,0.0
197,CLI199,0,1,54,1,0,2,2,5,1970,1,111245,30,1.678,30,1,140,0.0
198,CLI200,1,1,74,1,2,2,0,2,1950,1,112983,42,0.759,50,0,475,3.0
199,CLI201,1,1,39,0,0,1,1,2,1985,3,23791,11,0.939,30,0,497,3.0
200,CLI202,0,0,29,1,3,0,0,3,1995,3,21493,14,1.685,30,0,195,0.0
201,CLI203,1,1,21,0,3,0,0,3,2003,2,18379,32,1.788,30,1,344,0.5
202,CLI204,0,1,28,0,4,0,1,8,1996,3,24677,22,1.788,30,0,141,0.0
203,CLI205,0,1,43,1,3,2,0,2,1981,3,119370,44,1.491,50,1,182,0.0
204,CLI206,1,1,69,1,7,2,0,2,1955,1,67990,47,1.091,50,0,330,0.5
205,CLI207,1,0,25,0,3,0,0,3,1999,2,25792,21,2.306,30,0,130,0.0
206,CLI208,0,0,25,0,3,0,0,3,1999,2,25123,45,2.306,30,0,516,4.0
207,CLI209,0,1,58,1,0,2,0,1,1966,1,75114,43,0.7,50,1,240,0.0
208,CLI210,1,0,36,1,5,1,0,2,1988,3,22309,15,0.801,30,0,515,4.0
209,CLI211,0,1,55,0,4,2,1,4,1969,1,42798,10,0.818,30,1,141,0.0
210,CLI212,0,1,76,1,4,2,0,2,1948,1,116292,22,1.033,50,1,366,3.0
211,CLI213,1,0,41,1,0,1,0,1,1983,3,111610,3,1.238,50,0,53,0.0
212,CLI214,0,0,22,0,6,0,0,4,2002,2,19315,26,2.409,30,0,238,0.0
213,CLI215,0,1,94,0,8,2,2,1,1930,0,83312,35,0.955,120,0,288,0.0
214,CLI216,0,1,54,1,5,2,1,4,1970,1,21962,43,1.424,30,0,379,3.0
215,CLI217,1,0,20,0,3,0,0,3,2004,2,13516,29,1.719,30,0,277,0.0
216,CLI218,0,1,57,1,5,2,1,2,1967,1,44875,12,1.385,50,1,138,0.0
217,CLI219,1,1,28,0,5,0,1,2,1996,3,25044,32,1.374,30,1,112,0.0
218,CLI220,1,1,62,0,2,2,2,2,1962,1,28075,44,1.639,30,0,238,0.0
219,CLI221,1,0,68,1,8,2,0,1,1956,1,127188,48,0.974,50,0,506,4.0
220,CLI222,0,0,39,1,0,1,0,3,1985,3,25028,3,1.123,30,0,226,0.0
221,CLI223,1,1,31,1,4,0,1,2,1993,3,23023,37,1.56,30,0,364,0.5
222,CLI224,0,0,31,1,0,0,0,3,1993,3,21556,35,1.468,30,0,282,0.0
223,CLI225,1,0,22,0,3,0,0,5,2002,2,15005,47,1.236,30,0,321,0.5
224,CLI226,0,0,30,0,1,0,0,1,1994,3,29143,47,1.031,30,0,532,4.0
225,CLI227,0,0,62,0,4,2,0,1,1962,1,69229,28,1.326,30,0,521,4.0
226,CLI228,1,1,50,1,0,2,1,4,1974,1,48692,33,0.72,30,0,583,4.0
227,CLI229,1,0,28,1,3,0,0,4,1996,3,23938,15,1.512,30,0,33,0.0
228,CLI230,1,0,44,0,6,2,0,1,1980,1,47218,39,1.077,30,1,279,0.0
229,CLI231,0,1,28,1,3,0,0,2,1996,3,19509,1,1.305,30,0,411,3.0
230,CLI232,0,1,81,0,8,2,2,2,1943,0,64200,9,1.697,30,0,428,3.0
231,CLI233,0,0,25,0,3,0,0,4,1999,2,30810,15,2.927,30,0,343,0.5
232,CLI234,0,1,74,1,8,2,2,2,1950,1,32234,16,0.583,30,0,299,0.0
233,CLI235,1,0,23,0,3,0,0,4,2001,2,18209,15,2.133,30,0,256,0.0
234,CLI236,0,0,42,1,0,2,0,1,1982,3,50413,49,0.709,50,0,308,0.5
235,CLI237,1,0,31,0,3,0,0,4,1993,3,18631,35,1.698,30,1,126,0.0
236,CLI238,0,0,35,0,3,1,0,5,1989,3,23024,7,1.077,30,0,99,0.0
237,CLI239,0,0,36,1,8,1,0,4,1988,3,28874,7,1.307,30,1,127,0.0
238,CLI240,0,1,62,0,8,2,2,4,1962,1,60382,28,1.678,30,0,405,3.0
239,CLI241,0,1,58,1,0,2,0,2,1966,1,41277,9,0.661,50,0,370,3.0
240,CLI242,1,1,63,0,2,2,2,5,1961,1,83097,6,1.404,30,0,569,4.0
241,CLI243,0,1,65,1,0,2,1,3,1959,1,66869,44,0.681,80,1,210,0.0
242,CLI244,0,1,28,1,3,0,2,4,1996,3,31045,0,2.03,30,0,273,0.0
243,CLI245,1,1,65,1,0,2,1,6,1959,1,84463,7,1.6,30,0,284,0.0
244,CLI246,0,1,40,1,0,1,0,4,1984,3,81229,7,1.169,30,0,150,0.0
245,CLI247,1,1,41,1,7,1,0,2,1983,3,119717,32,1.629,50,0,120,0.0
246,CLI248,1,0,24,0,5,0,0,3,2000,2,20248,33,13.395,30,0,430,3.0
247,CLI249,1,1,47,1,0,2,0,2,1977,1,69591,41,1.424,50,0,87,0.0
248,CLI250,1,1,45,1,0,2,0,2,1979,1,114565,3,1.583,50,0,82,0.0
249,CLI251,0,0,23,0,4,0,0,5,2001,2,14508,37,14.085,30,0,549,4.0
250,CLI252,0,0,54,0,4,2,0,1,1970,1,114342,36,0.642,120,0,394,3.0
251,CLI253,1,0,42,1,5,2,0,1,1982,3,41408,17,0.893,50,0,371,3.0
252,CLI254,1,1,52,0,0,2,1,4,1972,1,89663,49,1.619,30,0,359,0.5
253,CLI255,1,1,77,1,8,2,2,3,1947,1,123604,46,1.639,80,0,46,0.0
254,CLI256,0,0,34,0,4,1,0,4,1990,3,18455,10,1.169,30,0,308,0.5
255,CLI257,0,1,90,0,8,2,1,2,1934,0,40760,11,1.17,30,0,70,0.0
256,CLI258,0,1,56,0,2,2,0,1,1968,1,122968,6,1.228,120,0,335,0.5
257,CLI259,0,0,46,0,1,2,0,1,1978,1,108670,16,1.443,120,1,281,0.0
258,CLI260,1,0,42,1,0,2,0,3,1982,3,24978,13,1.33,30,0,74,0.0
259,CLI261,1,1,20,0,2,0,2,4,2004,2,21453,40,1.098,30,0,515,4.0
260,CLI262,1,1,55,1,0,2,1,3,1969,1,115574,33,0.603,80,0,251,0.0
261,CLI263,0,0,51,1,5,2,0,1,1973,1,51073,44,1.502,50,0,253,0.0
262,CLI264,0,1,79,0,8,2,2,3,1945,0,32554,40,0.994,30,0,223,0.0
263,CLI265,0,0,36,0,4,1,0,4,1988,3,26531,22,1.054,30,1,169,0.0
264,CLI266,0,0,28,0,1,0,0,7,1996,3,30471,38,2.306,30,1,162,0.0
265,CLI267,0,1,83,0,7,2,2,2,1941,0,51383,45,0.622,30,0,51,0.0
266,CLI268,1,0,79,1,0,2,0,1,1945,0,59940,35,0.994,50,0,52,0.0
267,CLI269,0,1,79,1,0,2,1,3,1945,0,67348,8,1.502,80,1,211,0.0
268,CLI270,1,1,40,1,7,1,0,6,1984,3,56576,26,2.043,30,0,177,0.0
269,CLI271,1,1,44,1,0,2,0,2,1980,1,55372,20,0.801,50,1,249,0.0
270,CLI272,0,0,31,1,7,0,0,4,1993,3,31689,8,2.02,30,0,511,4.0
271,CLI273,0,0,31,1,5,0,0,3,1993,3,21001,9,1.56,30,1,194,0.0
272,CLI274,1,1,21,0,7,0,2,3,2003,2,16263,5,1.754,30,0,561,4.0
273,CLI275,1,1,47,1,0,2,0,2,1977,1,93570,29,1.385,50,0,350,0.5
274,CLI276,0,1,39,1,0,1,1,2,1985,3,29143,3,1.399,30,0,230,0.0
275,CLI277,1,1,72,1,8,2,2,2,1952,1,49363,39,1.463,50,1,288,0.0
276,CLI278,1,1,57,1,2,2,2,4,1967,1,81605,20,1.287,80,0,511,1.0
277,CLI279,0,0,44,1,0,2,0,1,1980,1,56875,1,1.307,50,0,151,0.0
278,CLI280,0,1,76,0,4,2,0,3,1948,1,73565,5,1.326,30,0,403,3.0
279,CLI281,0,0,24,0,3,0,0,3,2000,2,12875,36,12.705,30,0,225,0.0
280,CLI282,1,1,52,1,2,2,1,4,1972,1,102945,42,0.876,80,0,247,0.0
281,CLI283,1,1,32,1,6,1,2,2,1992,3,19708,26,1.698,30,1,117,0.0
282,CLI284,1,1,51,1,0,2,1,3,1973,1,27708,0,0.915,30,0,50,0.0
283,CLI285,1,0,35,1,0,1,0,2,1989,3,21909,4,1.652,30,0,38,0.0
284,CLI286,0,0,42,1,3,2,0,1,1982,3,76047,16,1.399,50,0,512,1.0
285,CLI287,1,1,65,1,0,2,0,1,1959,1,110421,31,1.639,50,0,439,1.0
286,CLI288,0,0,29,1,7,0,0,1,1995,3,27554,32,2.685,30,0,122,0.0
287,CLI289,1,0,29,1,3,0,0,2,1995,3,27078,17,1.685,30,0,69,0.0
288,CLI290,1,0,31,0,6,0,0,1,1993,3,21752,8,0.939,30,0,498,3.0
289,CLI291,0,1,58,1,4,2,1,3,1966,1,129871,21,1.228,80,0,188,0.0
290,CLI292,0,0,47,1,7,2,0,1,1977,1,88700,13,1.6,120,0,519,4.0
291,CLI293,1,0,30,0,5,0,0,3,1994,3,19071,2,0.801,30,0,598,4.0
292,CLI294,0,0,35,0,0,1,0,8,1989,3,23946,2,1.284,30,1,272,0.0
