ID,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,ingresos_anuales_brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno
CLI16,0,1,0.8724089883614183,0,5,+20annos,Bajo,1,1960,1,1.9189328883552763,Ciudad Real,0.779,2.6057873849081887,0,0.5173005930384785,3.0
CLI17,0,0,-0.15844910595725972,0,3,+20annos,Bajo,2,1979,1,-0.26963988136901773,Gerona,0.801,-0.5330863202314747,0,0.7457377056675469,3.0
CLI18,0,0,-0.7010059977039323,0,1,10-20annos,Bajo,5,1989,3,-0.7220259588491099,Zaragoza,1.767,-0.5330863202314747,0,0.20151987852182507,0.5
CLI19,1,0,-0.7552616868785996,0,3,10-20annos,Bajo,6,1990,3,-0.6845715504392869,Jaen,1.606,-0.5330863202314747,1,-0.5039476751855921,3.0
CLI20,1,1,0.8724089883614183,1,7,+20annos,Medio,4,1960,1,0.32128238143415505,Almeri­a,0.72,1.2107324048461163,0,-1.2094152288930093,3.0
CLI21,0,1,2.1202898393787653,1,0,+20annos,Alto,1,1937,0,1.6410426127061895,Leon,0.759,0.16444116979956172,0,-0.9541031618369917,3.0
CLI22,1,1,0.3298520966147456,1,1,+20annos,Bajo,1,1970,1,1.9139126438545622,Ceuta,0.622,0.16444116979956172,0,-1.659570715544409,3.0
CLI23,0,0,-1.5148413353239414,0,3,<10annos,Bajo,4,2004,2,-0.9843760394426148,Toledo,2.651,-0.5330863202314747,0,-0.5509788454327533,3.0
CLI24,1,1,-0.6467503085292651,1,0,10-20annos,Bajo,2,1988,3,-0.9040239238103963,Las Palmas,0.916,-0.5330863202314747,0,0.38292582090373234,0.5
CLI25,0,0,-0.429727551830596,1,0,10-20annos,Bajo,2,1984,3,-0.671795310221177,Albacete,1.077,-0.5330863202314747,1,-1.0951966725784752,3.0
CLI26,0,1,0.8724089883614183,0,2,+20annos,Medio,3,1960,1,0.17154935865723425,Vizcaya,0.876,-0.5330863202314747,0,-0.5039476751855921,3.0
CLI27,1,1,0.7638976100120838,0,0,+20annos,Medio,3,1962,1,1.9727453968236064,Ciudad Real,1.737,5.395897345032335,1,-0.020198495500506064,3.0
CLI28,1,0,-0.7552616868785996,0,3,10-20annos,Bajo,8,1990,3,-1.0719482819972086,Huelva,1.974,-0.5330863202314747,0,1.2899555328132688,3.0
CLI29,1,1,0.3298520966147456,1,0,+20annos,Medio,3,1970,1,-0.6566781694774532,ivila,0.72,-0.5330863202314747,0,-0.7256660492079233,3.0
CLI30,1,0,-0.4839832410052633,1,0,10-20annos,Bajo,1,1985,3,-0.7392583711521233,Guadalajara,1.008,-0.5330863202314747,0,-1.7469143174319939,3.0
CLI31,0,0,-0.4839832410052633,0,0,10-20annos,Bajo,4,1985,3,-0.7694926526395709,Granada,1.146,-0.5330863202314747,1,0.5038631158250039,3.0
CLI32,0,1,0.1128293399160766,1,0,+20annos,Bajo,3,1974,1,1.5103752375836668,La Rioja,1.17,1.2107324048461163,0,0.7927688759147081,3.0
CLI33,0,1,-0.10419341678259245,0,5,+20annos,Bajo,2,1978,1,0.056676011177407865,Alicante,0.72,-0.5330863202314747,0,0.8263625689483947,3.0
CLI34,1,0,-1.460585646149274,0,3,<10annos,Bajo,3,2003,2,-1.1073156224685325,LLeida,1.512,-0.5330863202314747,1,-0.873478298556144,3.0
CLI35,1,0,-1.026540132751936,0,1,<10annos,Bajo,1,1995,3,-0.7728770871344345,ilava,2.823,-0.5330863202314747,0,-0.5308226296125415,3.0
CLI36,0,1,2.3373125960774344,0,8,+20annos,Alto,2,1933,0,0.7473544807166833,Leon,1.091,2.6057873849081887,0,0.2619885259824608,0.5
CLI37,0,0,-0.9722844435772686,1,3,<10annos,Bajo,4,1994,3,-0.9875348449711541,Badajoz,1.261,-0.5330863202314747,0,-0.9809781162639409,3.0
CLI38,1,0,-0.7010059977039323,0,5,10-20annos,Bajo,1,1989,3,-0.9773533378657729,Zaragoza,1.537,-0.5330863202314747,0,-0.38972911887105793,3.0
CLI39,0,1,-0.9180287544026013,0,3,<10annos,Medio,5,1993,3,-0.922807535256889,Alicante,1.054,-0.5330863202314747,0,0.18136366270161314,0.5
CLI40,0,1,-0.9180287544026013,1,0,<10annos,Bajo,2,1993,3,-0.9461883368922379,Sevilla,0.87,-0.5330863202314747,0,1.491517691015388,4.0
CLI41,1,1,0.7638976100120838,1,0,+20annos,Medio,2,1962,1,-0.1872289014190907,Burgos,1.6,0.16444116979956172,0,1.3101117486334808,3.0
CLI42,0,0,0.22134071826541113,1,0,+20annos,Bajo,1,1972,1,0.22073647331591761,Salamanca,0.798,0.16444116979956172,0,-1.7805080104656805,3.0
CLI43,0,0,-1.2978185786252723,0,3,<10annos,Bajo,2,2000,2,-1.0887576399883643,Teruel,2.996,-0.5330863202314747,1,0.2619885259824608,0.5
CLI44,0,0,-0.9722844435772686,1,0,<10annos,Bajo,3,1994,3,-0.9449755811982451,Gerona,1.261,-0.5330863202314747,0,-1.7334768402185194,3.0
CLI45,0,1,0.3298520966147456,1,0,+20annos,Bajo,2,1970,1,-0.07951927362005878,Toledo,0.896,0.16444116979956172,1,0.6113629335328008,3.0
CLI46,1,1,-0.21270479513192697,0,4,+20annos,Bajo,1,1980,1,-0.8719846105923549,Caceres,1.629,-0.5330863202314747,1,-0.22176065370262527,3.0
CLI47,0,1,2.1202898393787653,0,8,+20annos,Alto,2,1937,0,-0.2282369660485205,Zaragoza,1.385,-0.5330863202314747,0,-0.5039476751855921,3.0
CLI48,1,1,-0.15844910595725972,1,0,+20annos,Medio,4,1979,1,0.24829141082826486,Guadalajara,1.698,-0.5330863202314747,1,-0.7458222650281352,3.0
CLI49,0,0,-0.8637730652279342,1,3,10-20annos,Bajo,1,1992,3,-0.939052820832234,Toledo,0.801,-0.5330863202314747,1,0.046988890566867,0.5
CLI50,1,0,-1.460585646149274,0,3,<10annos,Bajo,4,2003,2,-1.028232669771888,Albacete,2.306,-0.5330863202314747,0,-0.3292604714104222,3.0
CLI51,0,0,0.1128293399160766,1,4,+20annos,Bajo,1,1974,1,-0.8320482835529652,La Rioja,1.17,-0.5330863202314747,0,0.6516753651732247,3.0
CLI52,0,1,1.0351760558854202,0,0,+20annos,Medio,2,1957,1,1.4458171495941448,Alicante,1.561,2.6057873849081887,1,-0.9809781162639409,3.0
CLI53,0,1,-0.429727551830596,1,0,10-20annos,Medio,2,1984,3,0.7685636035511614,ivila,1.56,0.16444116979956172,0,0.2619885259824608,0.5
CLI54,1,1,-0.21270479513192697,1,0,+20annos,Bajo,1,1980,1,0.09441245579513625,ivila,1.79,0.16444116979956172,1,0.21495735573529967,0.5
CLI55,0,1,0.8181532991867511,1,7,+20annos,Medio,2,1961,1,0.971827098588507,La Corui±a,0.974,0.16444116979956172,0,-1.1422278428256363,3.0
CLI56,1,1,1.9575227718547636,0,6,+20annos,Bajo,1,1940,0,0.8849035393120953,Toledo,1.385,2.6057873849081887,0,1.6930798492175072,4.0
CLI57,1,1,-0.7010059977039323,1,0,10-20annos,Medio,2,1989,3,-1.0380757334277828,Zamora,1.514,-0.5330863202314747,0,1.1018308518246243,3.0
CLI58,1,0,-1.0807958219266032,1,3,<10annos,Bajo,4,1996,3,-0.8071162827741373,Huelva,2.237,-0.5330863202314747,0,0.6919877968136485,3.0
CLI59,1,0,-0.7010059977039323,1,5,10-20annos,Bajo,2,1989,3,-1.0171768504220005,Madrid,0.916,-0.5330863202314747,0,-0.7525410036348725,3.0
CLI60,0,1,0.1128293399160766,1,0,+20annos,Medio,3,1974,1,0.4804918207966937,Segovia,0.74,1.2107324048461163,0,1.5116739068356,4.0
CLI61,1,1,1.6862443259814273,1,8,+20annos,Bajo,1,1945,0,0.6022750553701999,Segovia,1.58,0.16444116979956172,0,1.887923268812889,1.0
CLI62,1,1,0.2755964074400784,1,0,+20annos,Medio,2,1971,1,-0.93671192030662,Burgos,0.72,-0.5330863202314747,0,-1.5655083750500867,3.0
CLI63,1,1,0.7096419208374165,1,0,+20annos,Medio,2,1963,1,0.007545303760305584,Burgos,0.583,0.16444116979956172,0,-0.013479756893768758,3.0
CLI64,1,1,1.7947557043307618,1,8,+20annos,Alto,3,1943,0,-0.6999707273909159,Pontevedra,0.818,-0.5330863202314747,1,-0.8600408213426695,3.0
CLI65,1,1,0.7638976100120838,1,8,+20annos,Alto,2,1962,1,1.3067732990968346,Guadalajara,1.404,0.16444116979956172,0,1.8341733599589907,1.0
CLI66,1,1,0.9266646775360855,1,8,+20annos,Alto,2,1959,1,0.5682050814552403,Badajoz,1.502,0.16444116979956172,0,-0.5576975840394907,3.0
CLI67,1,0,-1.0807958219266032,1,7,<10annos,Bajo,2,1996,3,-0.8540189041487877,Vizcaya,2.168,-0.5330863202314747,0,0.4971443772182666,3.0
CLI68,1,1,-0.7552616868785996,1,5,10-20annos,Medio,2,1990,3,-0.8445706911839603,Sevilla,0.939,-0.5330863202314747,0,1.9887043479139488,4.0
CLI69,1,0,-0.9722844435772686,0,0,<10annos,Bajo,4,1994,3,-0.8159722197023634,Guadalajara,1.583,-0.5330863202314747,0,-0.7525410036348725,3.0
CLI70,1,1,0.8181532991867511,1,0,+20annos,Medio,4,1961,1,-0.3878976633437077,Huelva,1.033,-0.5330863202314747,0,-1.7670705332522059,3.0
CLI71,0,1,-0.26696048430659425,1,1,+20annos,Alto,2,1981,3,0.8695889732228378,Salamanca,0.824,0.16444116979956172,0,-0.6719161403540248,3.0
CLI72,1,1,-0.9722844435772686,1,3,<10annos,Bajo,2,1994,3,-0.9898475418759775,Alicante,1.813,-0.5330863202314747,0,1.0279247271505139,3.0
CLI73,0,1,0.4383634749640802,1,7,+20annos,Medio,2,1968,1,1.9677251523228922,Leon,0.661,0.16444116979956172,1,0.19480113991508777,0.5
CLI74,0,1,0.22134071826541113,0,0,+20annos,Medio,5,1972,1,-0.2531689668273485,Burgos,0.837,-0.5330863202314747,0,0.4971443772182666,3.0
CLI75,0,0,-0.6467503085292651,0,3,10-20annos,Bajo,4,1988,3,-0.9481625903475749,Ciudad Real,2.02,-0.5330863202314747,0,-0.5576975840394907,3.0
CLI76,1,1,0.7638976100120838,1,0,+20annos,Medio,4,1962,1,0.09325610734272455,Teruel,1.326,1.2107324048461163,0,-0.5039476751855921,3.0
CLI77,0,0,-0.6467503085292651,0,1,10-20annos,Bajo,3,1988,3,-0.8818558778690402,LLeida,0.732,-0.5330863202314747,0,-1.0280092865111021,3.0
CLI78,0,0,-0.429727551830596,1,5,10-20annos,Bajo,2,1984,3,1.3347230873002494,Soria,1.721,0.16444116979956172,1,-0.3292604714104222,3.0
CLI79,1,1,0.4383634749640802,0,0,+20annos,Bajo,3,1968,1,-0.7731027161007588,Granada,1.17,-0.5330863202314747,1,0.6248004107462755,3.0
CLI80,1,1,0.1128293399160766,1,4,+20annos,Medio,2,1974,1,0.4487627474073481,Alicante,0.622,0.16444116979956172,0,-1.6864456699713581,3.0
CLI81,0,0,0.3298520966147456,1,8,+20annos,Bajo,1,1970,1,-0.45242754771243904,Cadiz,1.248,0.16444116979956172,0,0.08730132220729085,0.5
CLI82,1,0,-0.8095173760532669,0,3,10-20annos,Bajo,4,1991,3,-1.044477955347233,Ceuta,1.813,-0.5330863202314747,0,0.28214474180267274,0.5
CLI83,0,0,-1.026540132751936,0,3,<10annos,Bajo,3,1995,3,-0.9325659880504121,Badajoz,2.72,-0.5330863202314747,1,-0.5241038910058041,3.0
CLI84,1,1,1.1436874342347545,1,0,+20annos,Bajo,1,1955,1,-0.2461462652505067,La Corui±a,0.72,0.16444116979956172,0,1.6863611106107699,4.0
CLI85,1,1,-0.4839832410052633,0,7,10-20annos,Medio,4,1985,3,-0.9210589107678762,Caceres,1.261,-0.5330863202314747,0,1.4377677821614896,4.0
CLI86,0,0,-1.460585646149274,0,6,<10annos,Bajo,3,2003,2,-1.1764426970261201,La Corui±a,1.754,-0.5330863202314747,0,-1.0347280251178395,3.0
CLI87,1,0,-0.7010059977039323,0,3,10-20annos,Bajo,5,1989,3,-0.7114213974318708,Barcelona,1.905,-0.5330863202314747,0,0.10745753802750277,0.5
CLI88,1,1,0.49261916413874746,1,0,+20annos,Medio,3,1967,1,-0.501755680475075,Caceres,0.857,-0.5330863202314747,0,-0.3561354258373714,3.0
CLI89,0,1,-0.429727551830596,1,0,10-20annos,Bajo,2,1984,3,-0.8505780624123431,Cuenca,2.066,-0.5330863202314747,0,-0.30910425559021026,3.0
CLI90,0,0,-0.10419341678259245,0,7,+20annos,Bajo,3,1978,1,-0.8976217018909461,Ciudad Real,0.818,-0.5330863202314747,0,0.9405811252629288,3.0
CLI91,1,1,-0.21270479513192697,0,5,+20annos,Medio,2,1980,1,1.5272410028164032,LLeida,1.905,2.6057873849081887,1,0.12089501524097739,0.5
CLI92,1,0,-0.26696048430659425,1,7,+20annos,Bajo,3,1981,3,-0.45053790511947356,Guadalajara,1.882,-0.5330863202314747,0,-0.03363597271398068,3.0
CLI93,0,1,0.22134071826541113,1,0,+20annos,Medio,4,1972,1,1.4908301283758298,Palencia,1.17,1.2107324048461163,0,-1.269883876353645,3.0
CLI94,0,1,1.0351760558854202,1,0,+20annos,Alto,2,1957,1,0.4289356019916059,Madrid,1.502,0.16444116979956172,0,1.16229949928526,1.0
CLI95,1,1,-0.7010059977039323,0,7,10-20annos,Bajo,2,1989,3,-0.7298383618080866,Ceuta,2.043,-0.5330863202314747,0,-1.7066018857915701,3.0
CLI96,1,1,0.7096419208374165,0,0,+20annos,Bajo,1,1963,1,-0.23009840502069545,Zamora,1.424,-0.5330863202314747,0,-0.047073449927455296,3.0
CLI97,1,1,0.8724089883614183,1,0,+20annos,Medio,1,1960,1,-0.8397196684079893,Vizcaya,0.603,-0.5330863202314747,0,-4.2279680294144307e-05,3.0
CLI98,0,0,-0.3212161734812615,1,0,+20annos,Bajo,1,1982,3,0.13209249317128358,Baleares,1.836,0.16444116979956172,0,0.221676094342037,0.5
CLI99,1,1,1.1436874342347545,1,0,+20annos,Alto,2,1955,1,1.7884347349574965,Santa Cruz de Tenerife,1.189,0.16444116979956172,0,1.3638616574873792,4.0
CLI100,1,1,0.8724089883614183,1,5,+20annos,Medio,2,1960,1,1.2313850207237496,Alicante,1.052,0.16444116979956172,1,0.4165195139374189,0.5
CLI101,1,1,-0.8095173760532669,0,4,10-20annos,Medio,3,1991,3,-0.849026863268864,Valencia,1.169,-0.5330863202314747,1,-0.9809781162639409,3.0
CLI102,1,1,0.9809203667107528,1,0,+20annos,Medio,4,1958,1,1.550452582727009,Zamora,1.6,1.2107324048461163,0,-1.659570715544409,3.0
CLI103,1,1,1.4692215692827582,0,2,+20annos,Alto,7,1949,1,-0.7779255352559392,ivila,1.482,-0.5330863202314747,1,-1.0481655023313141,3.0
CLI104,1,1,0.49261916413874746,0,0,+20annos,Bajo,3,1967,1,0.6853347185983091,Soria,1.463,-0.5330863202314747,1,-0.7256660492079233,3.0
CLI105,1,1,-0.3212161734812615,0,2,+20annos,Alto,5,1982,3,1.133180013131126,Huesca,1.054,-0.5330863202314747,1,0.38292582090373234,0.5
CLI106,0,1,-0.4839832410052633,1,3,10-20annos,Bajo,2,1985,3,-1.0111130719520367,La Corui±a,0.962,-0.5330863202314747,0,-0.6987910947809741,3.0
CLI107,1,0,-1.5148413353239414,0,5,<10annos,Bajo,2,2004,2,-1.1147613783572323,Ceuta,1.685,-0.5330863202314747,0,0.34261338926330853,0.5
CLI108,1,1,-0.8095173760532669,1,1,10-20annos,Bajo,2,1991,3,-0.802631907068443,Madrid,0.916,-0.5330863202314747,0,0.7927688759147081,3.0
CLI109,1,0,2.5543353527761035,0,8,+20annos,Bajo,1,1929,0,0.8005183059068313,Zamora,1.189,2.6057873849081887,0,-1.6461332383309344,3.0
CLI110,0,1,-1.460585646149274,0,3,<10annos,Bajo,5,2003,2,-0.9274611326873263,Melilla,2.478,-0.5330863202314747,0,0.8330813075551319,3.0
CLI111,1,0,-1.0807958219266032,0,3,<10annos,Bajo,3,1996,3,-0.9263893950972862,Granada,2.651,-0.5330863202314747,1,-0.3494166872306341,3.0
CLI112,1,1,0.9266646775360855,1,7,+20annos,Bajo,4,1959,1,-0.9116389014238393,Orense,1.737,-0.5330863202314747,0,1.7468297580714056,1.0
CLI113,0,0,-0.26696048430659425,1,0,+20annos,Bajo,1,1981,3,-0.713987926923809,Santa Cruz de Tenerife,1.859,-0.5330863202314747,0,1.1488620220717853,1.0
CLI114,0,1,0.3841077857894129,1,5,+20annos,Bajo,1,1969,1,0.16441384259723033,Castellon,0.7,0.16444116979956172,0,-0.5912912770731772,3.0
CLI115,1,0,0.22134071826541113,1,0,+20annos,Bajo,1,1972,1,1.4365381583540606,Pontevedra,1.385,0.16444116979956172,0,0.5307380702519531,1.0
CLI116,1,1,-0.04993772760792519,1,2,+20annos,Alto,3,1977,1,0.7149767240491555,Zamora,0.896,1.2107324048461163,0,0.16120744688140123,0.5
CLI117,1,1,-0.429727551830596,0,2,10-20annos,Medio,4,1984,3,0.7516696346976343,Guadalajara,1.905,-0.5330863202314747,0,0.3358946506565712,0.5
CLI118,1,1,2.1745455285534327,0,8,+20annos,Bajo,1,1936,0,1.2056069113212056,Zaragoza,0.955,2.6057873849081887,0,1.2429243625661077,3.0
CLI119,1,0,-0.429727551830596,1,0,10-20annos,Bajo,2,1984,3,0.5009394458698275,Castellon,0.87,0.16444116979956172,0,1.1757369764987347,3.0
CLI120,1,0,-0.9722844435772686,0,8,<10annos,Bajo,7,1994,3,-0.884563425464931,La Corui±a,0.824,-0.5330863202314747,1,0.1410512310611893,0.5
CLI121,0,1,-0.37547186265592875,1,0,10-20annos,Alto,2,1983,3,1.298171194755723,Guipiºzcoa,1.445,0.16444116979956172,1,0.5508942860721651,3.0
CLI122,1,1,0.16708502909074385,1,2,+20annos,Alto,3,1973,1,0.9217656716853173,Vizcaya,0.974,1.2107324048461163,0,0.3291759120498339,0.5
CLI123,1,1,0.7096419208374165,0,2,+20annos,Alto,4,1963,1,0.24809398548273115,Tarragona,1.189,-0.5330863202314747,0,-0.8600408213426695,3.0
CLI124,0,1,0.22134071826541113,0,4,+20annos,Medio,4,1972,1,1.0059252761242572,Zamora,0.603,-0.5330863202314747,0,1.0883933746111496,3.0
CLI125,0,0,-0.9180287544026013,1,3,<10annos,Bajo,3,1993,3,-0.6908045506339938,Orense,0.847,-0.5330863202314747,0,1.1085495904313616,3.0
CLI126,1,1,-0.26696048430659425,0,7,+20annos,Bajo,2,1981,3,-0.20113328646882173,Las Palmas,0.847,-0.5330863202314747,1,-0.5509788454327533,3.0
CLI127,0,1,-0.9722844435772686,0,6,<10annos,Bajo,2,1994,3,-0.8715897599012875,Gerona,1.238,-0.5330863202314747,0,1.1958931923189464,3.0
CLI128,0,1,-0.10419341678259245,0,4,+20annos,Bajo,1,1978,1,-0.5332309212773059,Cadiz,1.443,-0.5330863202314747,0,0.7524564442742843,3.0
CLI129,1,1,1.6862443259814273,1,0,+20annos,Medio,2,1945,0,0.5654411266177684,Teruel,0.681,0.16444116979956172,1,0.48370690000479194,3.0
CLI130,0,1,-0.9180287544026013,1,4,<10annos,Bajo,2,1993,3,-0.837999247539767,Navarra,1.031,-0.5330863202314747,0,-0.6450411859270756,3.0
CLI131,1,0,-0.4839832410052633,1,7,10-20annos,Bajo,5,1985,3,-0.9952626370677591,Zaragoza,1.813,-0.5330863202314747,0,-0.9137907301965679,3.0
CLI132,1,1,-0.26696048430659425,1,2,+20annos,Alto,5,1981,3,1.3082962946195233,Zamora,0.916,-0.5330863202314747,0,-0.49722893657885486,3.0
CLI133,0,1,1.5234772584574254,1,8,+20annos,Alto,2,1948,1,1.9960415875965838,Toledo,0.779,0.16444116979956172,0,-1.5319146820164002,3.0
CLI134,1,0,-1.5148413353239414,0,3,<10annos,Bajo,4,2004,2,-1.1280734873703622,Pontevedra,14.085,-0.5330863202314747,0,1.121987067644836,3.0
CLI135,1,1,0.16708502909074385,1,0,+20annos,Bajo,1,1973,1,-0.10388720198307623,Gerona,0.642,0.16444116979956172,0,1.0682371587909376,3.0
CLI136,0,1,0.3841077857894129,1,4,+20annos,Alto,2,1969,1,1.9022081412264924,Valladolid,0.935,0.16444116979956172,0,1.142143283465048,3.0
CLI137,1,0,-0.8095173760532669,0,2,10-20annos,Bajo,5,1991,3,-1.0262866199373415,Ciudad Real,1.629,-0.5330863202314747,1,-1.243008921926696,3.0
CLI138,0,0,-0.15844910595725972,0,0,+20annos,Bajo,2,1979,1,1.04549495609337,Vizcaya,1.652,2.6057873849081887,0,-1.397539909881654,3.0
CLI139,0,0,-0.26696048430659425,1,0,+20annos,Bajo,4,1981,3,-0.34028995144929397,Guipiºzcoa,1.859,-0.5330863202314747,1,-0.3494166872306341,3.0
CLI140,0,0,-0.8637730652279342,0,6,10-20annos,Bajo,4,1992,3,-1.0638538428303266,Malaga,1.537,-0.5330863202314747,0,-1.6461332383309344,3.0
CLI141,0,1,-0.37547186265592875,1,0,10-20annos,Bajo,4,1983,3,-0.8363352339131257,Leon,1.054,-0.5330863202314747,0,-1.552070897836612,3.0
CLI142,0,1,-0.26696048430659425,1,4,+20annos,Medio,2,1981,3,-0.9541981651967483,Huelva,1.721,-0.5330863202314747,0,-0.8600408213426695,3.0
CLI143,0,1,0.2755964074400784,1,0,+20annos,Medio,5,1971,1,1.6145876164046729,Orense,0.72,-0.5330863202314747,0,-1.6730081927578835,3.0
CLI144,0,0,-0.7010059977039323,1,5,10-20annos,Bajo,3,1989,3,-0.8614928636582779,Navarra,1.583,-0.5330863202314747,0,1.3504241802739045,3.0
CLI145,1,1,2.066034150204098,0,8,+20annos,Bajo,1,1938,0,0.40233958758613664,La Rioja,0.915,-0.5330863202314747,0,-0.28894803976999833,3.0
CLI146,0,1,-0.04993772760792519,0,4,+20annos,Medio,5,1977,1,-0.9635335636784135,Las Palmas,0.564,-0.5330863202314747,0,2.0021418251274232,4.0
CLI147,1,0,-0.8637730652279342,0,6,10-20annos,Bajo,5,1992,3,-0.7795895488825805,Huesca,1.744,-0.5330863202314747,0,1.7871421897118296,4.0
CLI148,0,1,-0.9180287544026013,0,4,<10annos,Medio,2,1993,3,-0.9546494231293967,Gerona,1.951,-0.5330863202314747,1,-0.33597921001715947,3.0
CLI149,1,1,2.1745455285534327,1,8,+20annos,Bajo,1,1936,0,1.9409881198134704,Cuenca,0.837,0.16444116979956172,0,0.967456079689878,3.0
CLI150,0,0,-0.9180287544026013,1,3,<10annos,Bajo,4,1993,3,-1.0292762037411376,Almeri­a,1.376,-0.5330863202314747,1,0.4232382525441562,0.5
CLI151,1,1,1.63198863680676,1,0,+20annos,Medio,3,1946,1,0.8747784394482953,Melilla,0.896,1.2107324048461163,0,-0.1478545290285149,3.0
CLI152,1,1,1.4149658801080909,0,8,+20annos,Alto,9,1950,1,0.4568571865742301,Soria,1.091,-0.5330863202314747,1,0.4366757297576308,0.5
CLI153,0,0,-1.026540132751936,0,4,<10annos,Bajo,1,1995,3,-0.7193748184948001,Melilla,2.961,-0.5330863202314747,1,-0.8197283897022456,3.0
CLI154,0,1,0.22134071826541113,1,4,+20annos,Medio,2,1972,1,0.3039935618895605,Gerona,1.306,0.16444116979956172,1,-0.8667595599494068,3.0
CLI155,0,1,-0.04993772760792519,1,0,+20annos,Medio,2,1977,1,0.8081896907618552,Toledo,1.717,0.16444116979956172,0,1.2026119309256837,3.0
CLI156,0,0,-0.9722844435772686,1,3,<10annos,Bajo,4,1994,3,-1.0538415574496887,Pontevedra,1.698,-0.5330863202314747,0,-1.3505087396344928,3.0
CLI157,0,1,0.1128293399160766,1,6,+20annos,Bajo,4,1974,1,0.21492652743306853,Granada,1.58,1.2107324048461163,0,-1.155665320039111,3.0
CLI158,1,1,1.9575227718547636,0,2,+20annos,Bajo,1,1940,0,-0.0681250108206849,Salamanca,0.974,-0.5330863202314747,0,-0.26207308534304913,3.0
CLI159,0,1,-0.04993772760792519,1,0,+20annos,Medio,4,1977,1,-0.9800044782200826,Ciudad Real,1.502,-0.5330863202314747,0,1.820735882745516,4.0
CLI160,0,1,2.066034150204098,1,8,+20annos,Alto,2,1938,0,-0.3379208473028895,Lugo,0.564,0.16444116979956172,1,0.020113936139917778,0.5
CLI161,1,1,-0.4839832410052633,1,0,10-20annos,Medio,3,1985,3,-0.7811407480260596,Ciudad Real,2.066,-0.5330863202314747,1,-0.9809781162639409,3.0
CLI162,0,0,0.3298520966147456,1,0,+20annos,Bajo,1,1970,1,1.9283811013201038,LLeida,0.876,0.16444116979956172,0,-0.8869157757696187,3.0
CLI163,0,0,-1.0807958219266032,1,3,<10annos,Bajo,5,1996,3,-1.0568029376326944,Badajoz,1.995,-0.5330863202314747,0,0.3358946506565712,0.5
CLI164,1,1,-0.37547186265592875,0,2,10-20annos,Medio,5,1983,3,-0.33318263901008055,Leon,1.491,-0.5330863202314747,0,0.47026942279131734,3.0
CLI165,0,0,-0.7010059977039323,0,3,10-20annos,Bajo,5,1989,3,-1.0123258276460294,Salamanca,1.261,-0.5330863202314747,0,-0.1478545290285149,3.0
